"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cabo Verde","CPV","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","357000000","","616860000","782610000","822490000","1308290000","2308350000","","","","520490000","1558300000","1510240000","1879810000","2181820000","1905330000","1468480000","1444920000","1498420000","","1949970000","2551360000","2353520000","2917800000","3010760000","2401120000","2217350000","1901280000",
"Caribbean small states","CSS","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169940000","166120000","58000000","220160000","189090000","138990000","2752110000","2476990000","1810120000","158000000","165000000","159000000","169000000","238000000","2275900000","2006310000","","","315630000","","","437850000","379050000","644320000",
"Cyprus","CYP","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16158020000","17251300000","7987930000","10268870000","6834300000","2853320000","1995750000","2104730000","4031000000","2692400000","2511333005.64887","2822392823.25541","3313490000","4284870000","4693160000",
"Czech Republic","CZE","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1740800000","6084100000","9185670000","14248100000","10817110000","10430790000","10582930000","9746160000","8150100000","10256370000","15507730000","26891360000","34886410000","44372130000","68913190000","40912350000","","","","","","","","","","","26313100000","26613600000",
"Germany","DEU","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","51400310000","53399790000","65101130000","83691660000","79399940000","71715670000","62583380000","68953080000","82869520000","78368170000","178283830000","257677250000","218463480000","250867040000","365175460000","355310780000","370610200000","328692100000","441696230000","499191940000","577373720000","664783310000","825232750000","1094252520000","1432166980000","1270243170000","1071748730000","686013540000","1079026240000","1194516790000","1202136280000","1637609770000","2105197820000","1110579630000","1292355310000","1429719050000","1184500160000","1486314810000","1936106260000","1738539060000","1715800490000","1716041505061.04","2262222570000","1755172790000","2098173930000","2284108840000",
"Djibouti","DJI","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","4099990000","4800040000","4779990000","5134510000","5189730000","5543090000","6172560000","5545320000","10557000000","7588100000","15096330000","17361760000","20340330000","26883910000","40223970000","39062500000","44792500000","32488700000","39933390000","47003330000","56221940000","71079200000","93772820000","98875480000","97452590000","111818640000","85145500000","76749870000","121640960000","151349870000","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276638442.572457","285296007.050442","189155431.279524","137851621.983006","142674569.772822","139092209.872241","141728184.421074","94296932.7498449","96663319.8613195","91314450.4415403","90058008.356833","105412462.955525","196798215.663923","166815679.075574","176833871.512583","168288844.920419","144019727.027575","414179630.933144","353143988.786481","371418617.768445","","",
"East Asia & Pacific (excluding high income)","EAP","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","873607510000","850412010000","833620000000","1735679500000","5328792690000","2245490210730.54","4391440061455.58","5279851998297.99","4669948310803.69","5247964778754.84","5415951308285.2","7634083598089.58","9572337769971.91","8853854016831.68","10653914826857","8101214069577.48","10437131410000","14149052940000",
"Early-demographic dividend","EAR","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","691845080000","690497880000","493407340000","821321448442.573","856349357933.242","645902450741.493","655235174180.44","1002617265024.11","1491615714420.37","2007463879170.13","2793182828306.6","4502715707876.48","2210531760222.87","3957677722294.44","5036592821331.88","4125176134755.25","4660749740933.89","4801635882112.15","5150461565869.59","4715159197178.36","4963269736843.07","6441565783080.56","5579828695623.38","8027085030604.82","9252048077044.53",
